Marca,Vehiculos,CO2_medio_wltp,Masa_media_kg,Potencia_media_kw
ILES AUTOMOTIVE,7,242.8571428571429,2498.571428571428,125.0
INEOS,878,311.1952054794521,2795.353075170843,189.8268792710706
ISUZU,1,241.0,2085.0,120.0
IVECO,4,274.0,2394.0,139.0
IVECO/CARPOL,3,262.0,2955.0,129.0
IVECO/MORELO,3,478.3333333333333,4550.0,152.0
JAC,167,0.0,1743.083832335329,138.1377245508982
JAECCOO,1,182.0,1724.0,108.0
JAECOO,2269,175.6950198325253,1654.88012340238,107.9973556632878
JAGUAR,5542,140.9779823136618,2035.654817755323,201.1959544879899
JANUS,1,,875.0,125.0
JEEP,119608,108.704499388579,1474.029254629823,91.82892501819947
JETOUR,3,,1870.0,173.0
JIAYUAN,6,0.0,1035.0,15.0
JOYEAR,21,164.0,1854.285714285714,130.0
JUNEYAO,1,0.0,1825.0,150.0
KG MOBILITY,2273,137.5468543774747,1628.730752309723,122.3326000879895
KGM,136,73.09558823529412,1799.823529411765,135.625
KIA,417494,106.4964584875335,1489.330344867232,105.4047100078085
KIA MOTOR,1,0.0,2100.0,160.0
KOENIGSEGG,6,405.1666666666667,1637.5,970.0
KTM,32,219.875,1163.28125,326.375
LADA,32,242.4516129032258,1242.03125,61.0
LAMBORGHINI,27,317.5,2422.518518518519,467.037037037037
LANCIA,32518,108.7492081065289,1115.914631896181,55.15637493080755
LAND ROVER,55831,118.0079707678805,2442.62900539127,217.7618348229478
LEAPMOTOR,1521,0.0,1411.948060486522,87.8690159574468
LEVC,1,19.0,2233.0,67.0
LEXSUS,1,140.0,2105.0,136.0
LEXUS,59060,103.8021743548059,1759.679444632577,120.0150016931934
LIMONT,1,,1325.0,132.0
LINCOLN,1,,2800.0,336.0
LIVAN,51,166.6470588235294,1220.0,76.0
L-NIVA,4,,1285.0,61.0
LOTUS,1722,54.20034843205575,2359.550901687027,406.0023350846468
LOTUS REPLIKA,1,,750.0,75.0
LUCID MOTORS,403,0.0,2356.203473945409,343.4069478908189
LUCID USA INC,50,0.0,2372.28,249.44
LUSEN,1,,1160.0,169.0
LYNK & CO,318,24.0,1954.0,132.0
LYNK AND CO,25,24.0,1954.0,132.0
LYNK&CO,5477,23.84892217756668,1953.603615117765,131.6894285192624
M ENGINERING,1,,1110.0,160.0
MACC,1,,1192.0,168.0
MAG,1,173.0,1675.0,125.0
MAHINDRA,221,158.2488687782806,1190.0,64.0
MAN,115,265.6936936936937,3037.721739130435,116.0608695652174
MAN/CARPOL,2,215.0,2635.0,116.5
MAN/KNAUS,6,342.8333333333333,3104.166666666667,130.0
MARCOS,1,,1020.0,142.0
MASERATI,3753,201.3415933919531,2033.242206235012,281.290967226219
MAXUS,783,3.632183908045977,2029.887611749681,134.4641025641026
MAXUS  LDV,4,0.0,2122.5,142.5
MAZDA,139994,123.6726028473666,1532.026801148621,112.4520273843383
MB 500K,1,,1650.0,161.0
MC LAREN,11,229.2727272727273,1540.090909090909,512.7272727272727
MCLAREN,340,208.5317220543807,1533.888235294118,499.8411764705882
MCLAREN AUTOMOTIVE LIMITE,1,276.0,1513.0,552.0
MERCEDES,21,209.65,2413.047619047619,231.7619047619048
MERCEDES - BENZ,7,5.0,2500.428571428572,135.0
MERCEDES AMG,3996,272.7064564564565,2017.14964964965,390.4186686686687
MERCEDES BENZ,18,154.6666666666667,2105.611111111111,146.1111111111111
MERCEDES-AMG,57,338.7291666666667,2352.368421052632,425.5087719298246
MERCEDES-BENZ,573491,107.6936482397999,2008.350295736237,158.389827784116
MERCEDES-BENZ AG,1,0.0,3235.0,160.0
MERCEDES-BENZ/ CARTHAGO,5,250.0,3290.2,125.0
MERCEDES-BENZ/ADRIA,2,353.5,3654.5,125.0
MERCEDES-BENZ/EURA MOBIL,3,250.6666666666667,3304.333333333334,125.0
MERCEDES-BENZ/FRANKIA,2,386.5,4610.0,140.0
MERCEDES-BENZ/HYMER,23,259.6521739130435,3443.086956521739,126.304347826087
MERCEDES-BENZ/KABE,9,90.71428571428571,3210.444444444444,125.0
MERCEDES-BENZ/MORELO,2,464.5,,282.5
MERCEDES-BENZ/MRC,3,130.3333333333333,1749.666666666667,88.66666666666667
MERCEDES-BENZ/WEINSBERG,30,113.375,3059.033333333333,123.5
MERCUS,3,179.3333333333333,2525.0,110.0
MG,159270,94.00790193305045,1516.305129654047,102.2454812365223
MG  ROEWE,3158,129.1095630145662,1390.054781507283,86.85053831538949
MG ROEWE,266,71.7593984962406,1585.436090225564,89.12406015037594
MIM,1,,1480.0,191.0
MINI,98153,96.5909211330752,1540.361231954194,130.4792428545161
MITSUBISHI,47752,115.3047894284937,1143.060793265204,64.9781998659742
MITSUBISHI MOTORS (THAILAND) C,882,115.4160997732426,951.3492063492064,52.0
MITSUBISHI MOTORS CORPORATION,9470,46.09049630411827,1973.797782470961,57.86061246040127
MOKE,59,0.0,831.0,27.71186440677966
MOKE INTERNATIONAL,1,0.0,831.0,11.0
MOLLERS 32B,1,,1345.0,162.0
MORGAN,148,159.3475177304965,1159.209459459459,215.5405405405406
MTM,1,228.0,1820.0,450.0
MTM F40,1,,1505.0,274.0
MUGHETTO,1,,1505.0,264.0
MUSLA,1,0.0,1710.0,202.0
MZON,1,,1245.0,155.0
NILSSON,2,149.0,2370.0,145.0
NIO,1646,0.0,2406.569866342649,341.4859926918392
NISSAN,203785,123.0854517971771,1556.397242191526,107.4971514095738
OLD ENGLISH,1,,1335.0,208.0
OLMEDO,3,224.3333333333333,2118.333333333334,103.0
OMODA,10853,161.8564452225191,1519.798304616235,121.032918395574
OMODA5,1,168.0,1530.0,108.0
OPEK,1,119.0,1175.0,74.0
OPEL,331191,114.0672601056233,1329.763308785565,84.67974081186516
OPEL / VAUXHALL,1730,125.4872832369942,1363.72774566474,87.07283236994219
OPEL/CARPOL,117,192.5299145299145,1980.615384615385,130.0
OSSIAN12,1,,1250.0,186.0
PAGANI S.P.A.,8,361.625,1477.0,627.75
PETER L,1,,1260.0,210.0
PEUGEOT,586733,105.1326398783755,1413.833384179857,90.68129455817211
PEUGEOT BENNETT,4,229.0,2330.0,103.0
PEUGEOT/ TOURNE MOBIL,19,235.2631578947369,2972.526315789474,121.0
PEUGEOT/BRAVIA,12,231.8333333333333,2985.75,110.4166666666667
PEUGEOT/CARPOL,124,192.9354838709677,1982.951612903226,130.0
PEUGEOT/ROLLERTEAM,1,228.0,2954.0,103.0
PILOTE IFA2,1,,3113.0,132.0
POLARIS,7,27.14285714285714,883.2857142857143,75.85714285714286
POLESTAR,21532,0.0006037525543377298,2218.556845625116,275.719255062233
PORCHE,1,34.0,2530.0,224.0
PORSCHE,81918,131.5960646590228,2139.665238409141,284.3185297683932
PORSDCHE,1,31.0,2400.0,364.0
RACESEMLAN,1,,1235.0,143.0
RAM,1,,2723.0,306.0
RAPPX,1,,1015.0,202.0
RCB,1,,677.0,177.0
RED BARON,1,,1350.0,201.0
RED ROD,1,,1120.0,142.0
REHATRANS,9,204.8333333333333,2093.666666666667,39.0
RELA LAMBO,1,,1425.0,250.0
RENAULT,657513,104.6757785646061,1436.805873039773,77.84240615774897
RENAULT/AHORN,17,229.6470588235294,2972.823529411765,106.8823529411765
RENAULT/CARPOL,419,183.0787589498807,2140.076372315036,111.5990453460621
RIMAC,5,0.0,2375.0,1352.0
RIMOR,1,245.0,2816.0,103.0
ROLLS ROYCE,58,120.0172413793104,2893.879310344827,347.1379310344827
ROLLS-ROYCE,473,248.8632075471698,2803.338266384778,425.9652173913044
RUF,17,316.3333333333333,1370.294117647059,473.5294117647059
SAABEL,1,0.0,1095.0,74.0
SARNDOLLAR,1,,1335.0,154.0
SCEPTRE,1,,915.0,151.0
SEAT,221356,126.0504660314362,1294.618826686424,89.4916333869423
SECMA,41,137.4390243902439,686.5365853658536,102.4878048780488
SERES,426,0.107981220657277,2282.652582159624,336.7666666666667
SERES DFSK SOKON,1,0.0,2435.0,70.0
SERES DFSK SOKON AITO,24,0.0,2435.0,430.0
SHINERAY,5,0.0,1525.0,60.0
SHINERAY SWM JINBEI SRM,24,157.7083333333333,1567.708333333333,88.0
SKALMAN,1,,865.0,109.0
SKODA,666352,115.9343043669492,1492.478787487694,108.5905718931433
SKODA AUTO AS,1,151.0,1603.0,147.0
SKYWELL,66,0.0,1985.30303030303,108.1538461538462
SKYWORTH,3,0.0,1993.333333333333,120.0
SMART,22292,0.02045576888569891,1698.025569711107,191.1334623694634
SMW,1,,1625.0,100.0
SOLBRECK,1,,1435.0,263.0
SPORTEQUIPE,857,155.0875145857643,1651.212368728121,118.0280046674446
SPRINT,1,,810.0,87.0
SSANG YONG,98,170.0204081632653,1492.724489795918,120.2040816326531
SSANGYONG,19136,172.3453699832776,1577.115280100335,120.9213524247492
SSANGYONG KG MOBILITY,26,48.84615384615385,1869.423076923077,143.3846153846154
SSANGYONG KG MOBITITY,1,162.0,1375.0,120.0
SSANGYONG. KG MOBILITY,34,203.5,2135.882352941177,148.2352941176471
SSANGYONGKG MOBILIT,1,0.0,1990.0,152.0
SSANG-YOUNG,1,207.0,1693.0,120.0
SSAYNGYONG,1,164.0,1642.0,100.0
STEEDA,3,271.6666666666667,1857.333333333333,332.6666666666667
SUBARU,20114,172.0438544152745,1736.999751416924,118.1554141394054
SUPER 70,1,,1810.0,348.0
SUZUKI,175810,116.5969602511888,1171.086223764291,75.70952033254184
SVEN,1,0.0,1725.0,120.0
SWM,523,191.7732558139535,1606.214149139579,94.03824091778203
SWM MOTORCYCLES S.R.L,2,181.0,1550.0,90.5
T0YOTA,1,132.0,1735.0,131.0
TESLA,265365,0.0,1966.295511071585,270.3513218944403
TEZON,1,0.0,2370.0,311.0
TOGG,3,0.0,2243.333333333334,84.0
TOYOTA,818376,106.3016568009737,1393.721025202383,83.15908354971742
TOYOTA AVESTARK,1,151.0,1683.0,81.0
TOYOTA/CARPOL,278,168.8705035971223,2017.36690647482,112.2985611510791
TOYOTA/STEELER,80,143.7875,1804.125,93.675
TRIPOD,1,139.0,1741.0,90.0
TS COBRA,1,,1170.0,136.0
TUERKIYE'NIN OTOMOBIL G.,9,0.0,2269.333333333334,100.0
TYR GT40,1,,1665.0,313.0
ULWEN,1,,720.0,88.0
V4 JOCKE XXS,1,,850.0,48.0
VINFAST,300,0.0,2531.14,198.9333333333333
VOLK,1,117.0,1304.0,81.0
VOLKBIL,1,,1110.0,177.0
VOLKSVAGEN,18,121.6111111111111,1381.666666666667,100.2777777777778
VOLKSWAGE. VW,1,116.0,1423.0,110.0
VOLKSWAGEB,1,161.0,1615.0,140.0
VOLKSWAGEN,535573,113.2427846086596,1521.824906501659,107.186327613921
VOLKSWAGEN  VW,8198,134.8031227128568,1573.67760429373,116.7304220541596
VOLKSWAGEN AMZ KUTNO,4,182.75,2207.5,110.0
VOLKSWAGEN BENNETT,1,257.0,2777.0,130.0
VOLKSWAGEN MOTORSPORT,1,,1305.0,200.0
VOLKSWAGEN VW,612768,121.4681690895605,1586.960822040315,112.7650585692645
VOLKSWAGEN. VW,3399,121.4630773756987,1612.304501323919,115.230950279494
VOLKSWAGEN/CARPOL,21,183.9047619047619,2359.666666666667,116.3333333333333
VOLKSWAGEN/ERIBA,2,277.0,2979.0,130.0
VOLKSWAGEN/FURGOK,1,303.0,3175.0,130.0
VOLKSWAGEN/HOBBY,2,291.0,3478.5,130.0
VOLKSWAGEN/KNAUS,27,334.9259259259259,3082.407407407407,129.2592592592593
VOLKSWAGEN/MOBILCAR,2,236.0,2566.0,103.0
VOLKSWAGEN/MRC,1,154.0,1688.0,84.0
VOLKSWAGEN/V-VAN,30,228.8,2626.6,126.4
VOLKSWAGEN/ZIMNY,6,175.0,2257.833333333334,95.5
VOLKSWAGEN-USA,1,291.0,2115.0,201.0
VOLSKWAGEN,3,45.33333333333334,2007.333333333333,110.0
VOLVO,294441,55.78521648168023,1979.215364028787,190.1237293719285
VOLVO/NILSSON,11,445.7272727272728,2540.727272727273,186.0
VOYAH,386,0.0,2422.507772020726,352.279792746114
VW,2063,127.4158991759574,1605.010179350461,116.5419292292778
WESTFALIA,1,229.0,2677.0,150.0
WEY,21,114.2631578947368,2416.238095238095,146.1904761904762
WIMA,1,0.0,1875.0,130.0
WULING,1,0.0,1144.0,50.0
XJRGC,1,,1660.0,225.0
XPENG,8291,0.0,2271.168013508624,248.0277409238934
YODO YUN,19,0.0,1375.0,70.0
YSPORT,1,,1385.0,210.0
YUDO,254,0.0,1375.0,68.26771653543307
YUEDA - HUMAN HORIZONS,1,0.0,2805.0,440.0
YUEDA HUMAN HORIZONS,5,0.0,2690.0,322.0
ZEEKR,2290,0.0,2169.165938864629,293.4643949322849
ZHIDOU,4,0.0,865.0,36.0
ZHIDOU  ZD ELARIS,2,0.0,865.0,36.0
ZHIDOU ZD ELARIS,2,0.0,865.0,36.0
